Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),Action,Placement,0.000000000000000000e+00,1.084219961999999954e-01,-7.871580184000000202e-02,-4.769819390999999742e-01,4.954425062000000213e-01
0.00127,1.81,-10.8,0.615,10.9,1.0,0.0,,,,,
0.0113,3.16,-10.1,1.26,10.6,1.0,0.0,,,,,
0.0214,3.84,-9.67,0.875,10.4,1.0,0.0,,,,,
0.0315,4.11,-9.34,0.0344,10.2,1.0,0.0,,,,,
0.0416,3.19,-9.33,-0.583,9.88,1.0,0.0,,,,,
0.0517,2.23,-9.48,-0.674,9.76,1.0,0.0,,,,,
0.0617,1.8,-9.51,-0.192,9.68,1.0,0.0,,,,,
0.0718,0.791,-9.52,0.495,9.57,1.0,0.0,,,,,
0.0819,-0.459,-9.48,1.04,9.55,1.0,0.0,,,,,
0.092,-1.7,-9.22,1.62,9.51,1.0,0.0,,,,,
0.102,-2.93,-8.89,1.99,9.57,1.0,0.0,,,,,
0.112,-4.2,-8.86,2.02,10.0,1.0,0.0,,,,,
0.122,-5.58,-9.13,1.9,10.9,1.0,0.0,,,,,
0.132,-6.67,-9.56,2.06,11.8,1.0,0.0,,,,,
0.142,-7.31,-9.84,2.6,12.5,1.0,0.0,,,,,
0.152,-7.5,-9.66,3.14,12.6,1.0,0.0,,,,,
0.163,-6.89,-8.9,3.22,11.7,1.0,0.0,,,,,
0.173,-5.96,-8.11,2.85,10.5,1.0,0.0,,,,,
0.183,-5.28,-7.62,2.22,9.53,1.0,0.0,,,,,
0.193,-4.78,-7.99,1.53,9.44,1.0,0.0,,,,,
0.203,-4.15,-8.89,0.594,9.83,1.0,0.0,,,,,
0.213,-3.4,-9.7,-0.3,10.3,1.0,0.0,,,,,
0.223,-2.79,-10.1,-0.994,10.5,1.0,0.0,,,,,
0.233,-2.16,-9.98,-1.27,10.3,1.0,0.0,,,,,
0.243,-1.35,-9.92,-1.31,10.1,1.0,0.0,,,,,
0.253,-0.544,-9.9,-0.819,9.95,1.0,0.0,,,,,
0.263,-0.167,-9.83,-0.0644,9.83,1.0,0.0,,,,,
0.273,-0.529,-9.81,0.851,9.86,1.0,0.0,,,,,
0.283,-1.09,-9.83,1.55,10.0,1.0,0.0,,,,,
0.294,-1.54,-9.79,1.86,10.1,1.0,0.0,,,,,
0.304,-1.42,-9.77,1.71,10.0,1.0,0.0,,,,,
0.314,-1.13,-9.61,1.54,9.8,1.0,0.0,,,,,
0.324,-1.37,-9.39,1.57,9.62,1.0,0.0,,,,,
0.334,-1.93,-9.22,1.7,9.57,1.0,0.0,,,,,
0.344,-2.43,-9.14,1.75,9.62,1.0,0.0,,,,,
0.354,-2.51,-9.27,1.59,9.73,1.0,0.0,,,,,
0.364,-2.26,-9.52,1.35,9.88,1.0,0.0,,,,,
0.374,-2.2,-9.72,1.12,10.0,1.0,0.0,,,,,
0.384,-2.3,-9.87,1.12,10.2,1.0,0.0,,,,,
0.394,-2.59,-9.92,1.13,10.3,1.0,0.0,,,,,
0.404,-2.88,-9.79,1.08,10.3,1.0,0.0,,,,,
0.414,-3.06,-9.45,1.15,10.0,1.0,0.0,,,,,
0.425,-3.01,-9.08,1.29,9.65,1.0,0.0,,,,,
0.435,-2.88,-8.83,1.47,9.41,1.0,0.0,,,,,
0.445,-2.78,-8.74,1.55,9.3,1.0,0.0,,,,,
0.455,-2.8,-8.79,1.48,9.34,1.0,0.0,,,,,
0.465,-2.93,-8.96,1.27,9.51,1.0,0.0,,,,,
0.475,-3.09,-9.29,0.913,9.83,1.0,0.0,,,,,
0.485,-3.23,-9.53,0.556,10.1,1.0,0.0,,,,,
0.495,-3.34,-9.68,0.312,10.2,1.0,0.0,,,,,
0.505,-3.37,-9.77,0.196,10.3,1.0,0.0,,,,,
0.515,-3.3,-9.75,0.162,10.3,1.0,0.0,,,,,
0.525,-3.12,-9.67,0.214,10.2,1.0,0.0,,,,,
0.535,-2.92,-9.56,0.317,10.0,1.0,0.0,,,,,
0.546,-2.84,-9.45,0.446,9.88,1.0,0.0,,,,,
0.556,-2.84,-9.39,0.512,9.82,1.0,0.0,,,,,
0.566,-2.81,-9.35,0.54,9.77,1.0,0.0,,,,,
0.576,-2.64,-9.33,0.515,9.71,1.0,0.0,,,,,
0.586,-2.46,-9.37,0.482,9.7,1.0,0.0,,,,,
0.596,-2.24,-9.39,0.462,9.66,1.0,0.0,,,,,
0.606,-2.0,-9.44,0.451,9.66,1.0,0.0,,,,,
0.616,-1.85,-9.44,0.373,9.63,1.0,0.0,,,,,
0.626,-1.86,-9.44,0.214,9.62,1.0,0.0,,,,,
0.636,-2.01,-9.45,-0.0419,9.67,1.0,0.0,,,,,
0.646,-2.27,-9.5,-0.301,9.78,1.0,0.0,,,,,
0.656,-2.47,-9.5,-0.422,9.82,1.0,0.0,,,,,
0.666,-2.57,-9.47,-0.413,9.82,1.0,0.0,,,,,
0.677,-2.57,-9.42,-0.245,9.76,1.0,0.0,,,,,
0.687,-2.56,-9.32,-0.00584,9.66,1.0,0.0,,,,,
0.697,-2.59,-9.21,0.219,9.57,1.0,0.0,,,,,
0.707,-2.64,-9.13,0.508,9.52,1.0,0.0,,,,,
0.717,-2.69,-9.1,0.752,9.52,1.0,0.0,,,,,
0.727,-2.82,-9.18,0.891,9.65,1.0,0.0,,,,,
0.737,-2.98,-9.29,1.07,9.82,1.0,0.0,,,,,
0.747,-3.18,-9.44,1.2,10.0,1.0,0.0,,,,,
0.757,-3.38,-9.65,1.24,10.3,1.0,0.0,,,,,
0.767,-3.54,-9.91,1.23,10.6,1.0,0.0,,,,,
0.777,-3.62,-10.1,1.17,10.8,1.0,0.0,,,,,
0.787,-3.65,-10.2,0.929,10.9,1.0,0.0,,,,,
0.797,-3.64,-10.1,0.545,10.8,1.0,0.0,,,,,
0.808,-3.71,-9.78,-0.00614,10.5,1.0,0.0,,,,,
0.818,-4.69,-7.43,-2.94,9.27,1.0,0.0,,,,,
0.828,-8.64,-1.98,-4.76,10.1,1.0,0.0,,,,,
0.838,-10.3,-4.49,-1.84,11.4,1.0,0.0,,,,,
0.848,-8.53,-11.0,0.463,13.9,1.0,0.0,,,,,
0.858,-7.79,-13.3,0.364,15.4,1.0,0.0,,,,,
0.868,-7.14,-13.5,-0.0299,15.3,1.0,0.0,,,,,
0.878,-4.75,-13.5,2.04,14.5,1.0,0.0,,,,,
0.888,-3.02,-12.9,1.54,13.3,1.0,0.0,,,,,
0.898,-2.69,-12.8,-0.0211,13.1,1.0,0.0,,,,,
0.908,-1.47,-12.0,0.143,12.1,1.0,0.0,,,,,
0.918,-0.752,-10.5,0.11,10.5,1.0,0.0,,,,,
0.929,0.125,-9.06,0.126,9.06,1.0,0.0,,,,,
0.939,0.911,-7.79,0.805,7.88,1.0,0.0,,,,,
0.949,1.04,-6.79,2.14,7.19,1.0,0.0,,,,,
0.959,2.51,-5.7,3.83,7.31,1.0,0.0,,,,,
0.969,4.86,-5.37,4.62,8.59,1.0,0.0,,,,,
0.979,6.39,-4.94,4.91,9.46,1.0,0.0,,,,,
0.989,6.09,-3.9,4.81,8.69,1.0,0.0,,,,,
0.999,5.13,-5.36,3.68,8.28,1.0,0.0,,,,,
1.01,5.14,-7.62,2.2,9.45,1.0,0.0,,,,,
1.02,5.04,-8.99,0.312,10.3,1.0,0.0,,,,,
1.03,4.35,-9.7,-0.811,10.7,1.0,0.0,,,,,
1.04,3.41,-10.4,-1.28,11.0,1.0,0.0,,,,,
1.05,2.72,-10.9,-1.52,11.3,1.0,0.0,,,,,
1.06,2.23,-10.7,-1.8,11.1,1.0,0.0,,,,,
1.07,1.75,-9.96,-1.84,10.3,1.0,0.0,,,,,
1.08,1.3,-9.61,-1.34,9.79,1.0,0.0,,,,,
1.09,1.07,-10.2,-0.437,10.2,1.0,0.0,,,,,
1.1,1.13,-10.5,0.449,10.6,1.0,0.0,,,,,
1.11,0.883,-10.6,1.12,10.7,1.0,0.0,,,,,
1.12,0.486,-10.5,1.23,10.6,1.0,0.0,,,,,
1.13,-0.0564,-10.3,1.23,10.4,1.0,0.0,,,,,
1.14,-0.66,-10.2,1.15,10.3,1.0,0.0,,,,,
1.15,-1.26,-10.2,1.09,10.3,1.0,0.0,,,,,
1.16,-1.83,-10.2,0.945,10.4,1.0,0.0,,,,,
1.17,-2.31,-10.3,0.936,10.6,1.0,0.0,,,,,
1.18,-2.53,-10.3,1.04,10.6,1.0,0.0,,,,,
1.19,-2.6,-10.1,1.03,10.5,1.0,0.0,,,,,
1.2,-2.59,-9.85,0.996,10.2,1.0,0.0,,,,,
1.21,-2.5,-9.51,1.05,9.89,1.0,0.0,,,,,
1.22,-2.43,-9.18,1.12,9.56,1.0,0.0,,,,,
1.23,-2.44,-8.92,1.17,9.32,1.0,0.0,,,,,
1.24,-2.47,-8.76,1.15,9.18,1.0,0.0,,,,,
1.25,-2.53,-8.64,1.01,9.06,1.0,0.0,,,,,
1.26,-2.67,-8.61,0.661,9.04,1.0,0.0,,,,,
1.27,-2.94,-8.77,0.0245,9.25,1.0,0.0,,,,,
1.28,-3.14,-9.12,-1.25,9.73,1.0,0.0,,,,,
1.29,-3.24,-9.26,-2.98,10.3,1.0,0.0,,,,,
1.3,-3.3,-9.07,-4.22,10.5,1.0,0.0,,,,,
1.31,-3.16,-8.98,-5.14,10.8,1.0,0.0,,,,,
1.32,-2.55,-8.53,-5.48,10.5,1.0,0.0,,,,,
1.33,-1.97,-7.91,-5.52,9.85,1.0,0.0,,,,,
1.34,-2.04,-7.67,-5.14,9.45,1.0,0.0,,,,,
1.35,-2.5,-7.46,-4.01,8.83,1.0,0.0,,,,,
1.36,-2.78,-7.05,-2.23,7.9,1.0,0.0,,,,,
1.37,-3.89,-6.64,-0.799,7.74,1.0,0.0,,,,,
1.38,-5.14,-6.03,-1.11,8.0,1.0,0.0,,,,,
1.39,-5.97,-5.62,-2.95,8.71,1.0,0.0,,,,,
1.4,-6.86,-5.43,-4.87,10.0,1.0,0.0,,,,,
1.41,-7.42,-5.48,-7.73,12.0,1.0,0.0,,,,,
1.42,-7.04,-5.82,-13.7,16.4,1.0,0.0,,,,,
1.43,-5.94,-5.98,-19.7,21.4,1.0,0.0,,,,,
1.44,-4.26,-5.75,-14.0,15.7,1.0,0.0,,,,,
1.45,-2.77,-4.86,-2.74,6.23,1.0,0.0,,,,,
1.46,-2.66,-3.54,3.18,5.45,1.0,0.0,,,,,
1.47,-3.05,-1.69,4.86,5.98,1.0,0.0,,,,,
1.48,-2.68,-0.0431,5.1,5.76,1.0,0.0,,,,,
1.49,-1.97,0.0701,2.45,3.14,1.0,0.0,,,,,
1.5,-1.26,-3.22,-3.58,4.98,1.0,0.0,,,,,
1.51,-1.26,-8.66,-9.33,12.8,1.0,0.0,,,,,
1.52,-2.28,-12.9,-11.1,17.1,1.0,0.0,,,,,
1.53,-3.69,-14.9,-6.19,16.5,1.0,0.0,,,,,
1.54,-4.81,-15.6,-0.843,16.3,1.0,0.0,,,,,
1.55,-5.42,-16.7,-0.326,17.6,1.0,0.0,,,,,
1.56,-6.67,-16.8,-3.24,18.4,1.0,0.0,,,,,
1.57,-8.16,-15.4,-6.7,18.7,1.0,0.0,,,,,
1.58,-8.9,-14.0,-10.3,19.5,1.0,0.0,,,,,
1.59,-9.19,-14.0,-14.0,21.9,1.0,0.0,,,,,
1.6,-8.87,-16.2,-16.7,24.9,1.0,0.0,,,,,
1.61,-8.24,-20.0,-17.2,27.7,1.0,0.0,,,,,
1.62,-8.54,-24.0,-17.7,31.1,1.0,0.0,,,,,
1.63,-9.48,-26.7,-19.9,34.6,1.0,0.0,,,,,
1.64,-10.8,-28.2,-21.8,37.2,1.0,0.0,,,,,
1.65,-11.0,-29.0,-21.1,37.5,1.0,0.0,,,,,
1.66,-8.34,-27.4,-19.6,34.7,1.0,0.0,,,,,
1.67,-4.73,-24.1,-16.3,29.5,1.0,0.0,,,,,
1.68,-1.58,-21.6,-10.7,24.2,1.0,0.0,,,,,
1.69,0.672,-20.3,-5.15,20.9,1.0,0.0,,,,,
1.7,1.63,-17.9,-1.03,18.0,1.0,0.0,,,,,
1.71,1.41,-14.7,1.51,14.8,1.0,0.0,,,,,
1.72,1.97,-11.4,2.12,11.7,1.0,0.0,,,,,
1.73,2.19,-8.54,2.6,9.19,1.0,0.0,,,,,
1.74,1.03,-6.89,3.83,7.95,1.0,0.0,,,,,
1.75,0.177,-6.23,5.25,8.15,1.0,0.0,,,,,
1.77,-0.365,-6.5,6.32,9.08,1.0,0.0,,,,,
1.78,-0.391,-6.93,6.58,9.56,1.0,0.0,,,,,
1.79,-0.433,-6.7,6.55,9.38,1.0,0.0,,,,,
1.8,-1.03,-6.07,6.74,9.13,1.0,0.0,,,,,
1.81,-1.35,-5.3,7.74,9.48,1.0,0.0,,,,,
1.82,-0.995,-4.35,8.89,9.95,1.0,0.0,,,,,
1.83,-0.33,-3.37,7.97,8.66,1.0,0.0,,,,,
1.84,0.61,-2.62,6.54,7.07,1.0,0.0,,,,,
1.85,0.781,-2.05,6.23,6.6,1.0,0.0,,,,,
1.86,0.256,-1.46,6.3,6.47,1.0,0.0,,,,,
1.87,-0.146,-0.907,5.68,5.76,1.0,0.0,,,,,
1.88,-0.573,-0.634,5.21,5.28,1.0,0.0,,,,,
1.89,-1.08,-0.281,4.94,5.07,1.0,0.0,,,,,
1.9,-1.32,0.493,4.33,4.56,1.0,0.0,,,,,
1.91,-0.833,1.71,3.4,3.9,1.0,0.0,,,,,
1.92,-0.824,2.37,2.96,3.88,1.0,0.0,,,,,
1.93,-1.2,2.52,3.03,4.12,1.0,0.0,,,,,
1.94,-0.787,2.93,3.42,4.57,1.0,0.0,,,,,
1.95,0.0425,3.29,3.91,5.11,1.0,0.0,,,,,
1.96,0.942,3.73,4.09,5.61,1.0,0.0,,,,,
1.97,1.95,4.14,3.91,6.02,1.0,0.0,,,,,
1.98,2.69,4.7,4.49,7.04,1.0,0.0,,,,,
1.99,2.62,5.56,5.16,8.02,1.0,0.0,,,,,
2.0,2.42,5.64,4.98,7.9,1.0,0.0,,,,,
2.01,3.1,4.63,4.31,7.04,1.0,0.0,,,,,
2.02,3.42,3.67,0.927,5.1,1.0,0.0,,,,,
2.03,2.56,2.24,-5.44,6.41,1.0,0.0,,,,,
2.04,1.17,-10.3,-107.0,107.0,1.0,0.0,,,,,
2.05,3.73,-15.3,-78.0,79.6,1.0,0.0,,,,,
2.06,-1.79,-11.5,-4.45,12.4,1.0,0.0,,,,,
2.07,-3.05,-11.0,17.2,20.6,1.0,0.0,,,,,
2.08,-5.84,-11.3,15.4,19.9,1.0,0.0,,,,,
2.09,-7.94,-10.7,14.2,19.5,1.0,0.0,,,,,
2.1,-10.2,-15.4,16.4,24.7,1.0,0.0,,,,,
2.11,-12.3,-23.2,15.7,30.6,1.0,0.0,,,,,
2.12,-13.8,-32.3,15.0,38.2,1.0,0.0,,,,,
2.13,-14.4,-38.6,13.0,43.2,1.0,0.0,,,,,
2.14,-12.6,-40.4,7.39,43.0,1.0,0.0,,,,,
2.15,-3.3,-39.8,-62.1,73.8,1.0,0.0,,,,,
2.16,0.717,-31.6,-52.8,61.6,1.0,0.0,,,,,
2.17,-4.73,-23.7,20.3,31.6,1.0,0.0,,,,,
2.18,-3.91,-16.4,9.28,19.3,1.0,0.0,,,,,
2.19,-3.44,-9.99,-6.24,12.3,1.0,0.0,,,,,
2.2,-4.26,-7.03,-22.6,24.0,1.0,0.0,,,,,
2.21,-3.75,-8.3,-11.9,15.0,1.0,0.0,,,,,
2.22,-2.43,-10.7,0.353,11.0,1.0,0.0,,,,,
2.23,-2.48,-13.0,-1.1,13.3,1.0,0.0,,,,,
2.24,-3.8,-15.0,-4.55,16.1,1.0,0.0,,,,,
2.25,-5.25,-17.3,-6.96,19.4,1.0,0.0,,,,,
2.26,-6.02,-18.9,-5.37,20.6,1.0,0.0,,,,,
2.27,-6.55,-19.4,-3.2,20.8,1.0,0.0,,,,,
2.28,-6.82,-18.9,-3.14,20.4,1.0,0.0,,,,,
2.29,-6.43,-17.7,-3.75,19.2,1.0,0.0,,,,,
2.3,-5.62,-16.6,-3.75,17.9,1.0,0.0,,,,,
2.31,-4.56,-15.6,-3.01,16.5,1.0,0.0,,,,,
2.32,-3.69,-14.4,-2.06,15.0,1.0,0.0,,,,,
2.33,-3.46,-12.9,-1.48,13.4,1.0,0.0,,,,,
2.34,-3.67,-11.2,-1.02,11.8,1.0,0.0,,,,,
2.35,-3.92,-9.39,-0.597,10.2,1.0,0.0,,,,,
2.36,-4.04,-7.57,-1.09,8.64,1.0,0.0,,,,,
2.37,-3.77,-5.71,-2.5,7.29,1.0,0.0,,,,,
2.38,-3.03,-3.72,-3.96,6.22,1.0,0.0,,,,,
2.39,-2.01,-1.88,-4.45,5.24,1.0,0.0,,,,,
2.4,-1.19,-0.423,-4.02,4.21,1.0,0.0,,,,,
2.41,-0.954,0.887,-3.36,3.6,1.0,0.0,,,,,
2.42,-0.922,1.94,-2.48,3.29,1.0,0.0,,,,,
2.43,-1.08,2.41,-1.13,2.88,1.0,0.0,,,,,
2.44,-1.44,2.34,0.275,2.76,1.0,0.0,,,,,
2.45,-1.9,1.93,1.09,2.92,1.0,0.0,,,,,
2.46,-2.52,1.39,1.51,3.25,1.0,0.0,,,,,
2.47,-3.26,0.835,1.69,3.77,1.0,0.0,,,,,
2.48,-3.87,0.0386,1.65,4.21,1.0,0.0,,,,,
2.49,-4.19,-1.28,1.05,4.51,1.0,0.0,,,,,
2.5,-4.24,-2.75,0.523,5.08,1.0,0.0,,,,,
2.51,-4.01,-3.83,0.363,5.55,1.0,0.0,,,,,
2.52,-3.72,-4.42,0.465,5.8,1.0,0.0,,,,,
2.53,-3.61,-4.77,0.138,5.98,1.0,0.0,,,,,
2.54,-3.48,-4.8,-1.45,6.11,1.0,0.0,,,,,
2.55,-6.44,-3.98,-10.7,13.1,1.0,0.0,,,,,
2.56,-13.1,-3.88,-22.2,26.1,1.0,0.0,,,,,
2.57,-12.2,-6.65,-7.7,15.9,1.0,0.0,,,,,
2.58,-8.68,-9.41,5.01,13.7,1.0,0.0,,,,,
2.59,-10.3,-12.9,4.69,17.1,1.0,0.0,,,,,
2.6,-12.5,-17.4,2.1,21.5,1.0,0.0,,,,,
2.61,-13.9,-21.5,2.43,25.7,1.0,0.0,,,,,
2.62,-15.1,-24.2,3.81,28.8,1.0,0.0,,,,,
2.63,-16.6,-26.2,4.8,31.4,1.0,0.0,,,,,
2.64,-18.0,-27.8,3.61,33.3,1.0,0.0,,,,,
2.65,-19.5,-29.6,-7.68,36.3,1.0,0.0,,,,,
2.66,-15.6,-29.5,-5.08,33.8,1.0,0.0,,,,,
2.67,-11.2,-26.1,8.05,29.6,1.0,0.0,,,,,
2.68,-9.16,-22.8,7.31,25.7,1.0,0.0,,,,,
2.69,-7.65,-19.6,2.68,21.2,1.0,0.0,,,,,
2.7,-6.05,-16.4,-0.995,17.5,1.0,0.0,,,,,
2.71,-4.04,-13.1,-3.12,14.0,1.0,0.0,,,,,
2.72,-2.77,-9.5,-4.38,10.8,1.0,0.0,,,,,
2.73,-2.99,-6.23,-5.04,8.55,1.0,0.0,,,,,
2.74,-3.73,-3.99,-4.55,7.11,1.0,0.0,,,,,
2.75,-3.91,-2.35,-3.23,5.59,1.0,0.0,,,,,
2.76,-3.72,-0.929,-1.12,3.99,1.0,0.0,,,,,
2.77,-3.88,0.182,1.31,4.1,1.0,0.0,,,,,
2.78,-4.03,0.783,2.67,4.9,1.0,0.0,,,,,
2.79,-3.96,1.4,2.8,5.05,1.0,0.0,,,,,
2.8,-3.1,1.73,2.89,4.58,1.0,0.0,,,,,
2.81,-1.69,1.76,3.21,4.04,1.0,0.0,,,,,
2.82,0.0392,1.91,3.37,3.87,1.0,0.0,,,,,
2.83,1.02,2.61,3.23,4.28,1.0,0.0,,,,,
2.84,1.01,2.79,3.44,4.54,1.0,0.0,,,,,
2.85,0.912,2.75,3.75,4.74,1.0,0.0,,,,,
2.86,1.06,2.69,4.14,5.05,1.0,0.0,,,,,
2.87,1.07,2.71,4.18,5.1,1.0,0.0,,,,,
2.88,0.773,2.42,3.53,4.35,1.0,0.0,,,,,
2.89,0.402,1.98,3.07,3.68,1.0,0.0,,,,,
2.9,0.206,1.81,3.46,3.91,1.0,0.0,,,,,
2.91,-0.166,1.33,4.76,4.95,1.0,0.0,,,,,
2.92,-0.541,0.757,6.94,7.0,1.0,0.0,,,,,
2.93,-0.78,0.0442,9.88,9.91,1.0,0.0,,,,,
2.94,-0.94,-0.625,11.2,11.2,1.0,0.0,,,,,
2.95,-1.23,-1.14,11.4,11.5,1.0,0.0,,,,,
2.96,-1.89,-1.85,10.3,10.7,1.0,0.0,,,,,
2.97,-2.69,-2.68,7.75,8.63,1.0,0.0,,,,,
2.98,-3.0,-3.14,5.61,7.09,1.0,0.0,,,,,
2.99,-3.21,-3.61,4.06,6.31,1.0,0.0,,,,,
3.0,-3.93,-4.49,3.14,6.74,1.0,0.0,,,,,
3.01,-5.52,-5.94,3.3,8.75,1.0,0.0,,,,,
3.02,-7.53,-8.14,4.34,11.9,1.0,0.0,,,,,
3.03,-10.0,-12.0,5.18,16.4,1.0,0.0,,,,,
3.05,-13.8,-18.0,2.59,22.9,1.0,0.0,,,,,
3.06,-26.6,-30.9,-26.0,48.4,1.0,0.0,,,,,
3.07,-36.2,-40.6,-54.0,76.7,1.0,0.0,,,,,
3.08,-22.1,-32.9,-26.6,47.8,1.0,0.0,,,,,
3.09,-12.8,-23.1,-6.29,27.1,1.0,0.0,,,,,
3.1,-11.9,-18.0,1.75,21.7,1.0,0.0,,,,,
3.11,-14.3,-16.3,4.34,22.1,1.0,0.0,,,,,
3.12,-15.7,-16.6,-0.271,22.9,1.0,0.0,,,,,
3.13,-15.5,-15.9,-6.78,23.2,1.0,0.0,,,,,
3.14,-12.1,-13.2,-5.93,18.9,1.0,0.0,,,,,
3.15,-6.84,-10.9,-0.608,12.9,1.0,0.0,,,,,
3.16,-3.16,-9.37,2.1,10.1,1.0,0.0,,,,,
3.17,-0.806,-8.47,3.33,9.14,1.0,0.0,,,,,
3.18,0.586,-8.04,4.36,9.16,1.0,0.0,,,,,
3.19,0.621,-7.83,4.47,9.03,1.0,0.0,,,,,
3.2,-0.343,-7.99,3.81,8.86,1.0,0.0,,,,,
3.21,-1.42,-8.18,3.08,8.86,1.0,0.0,,,,,
3.22,-1.97,-7.94,1.68,8.35,1.0,0.0,,,,,
3.23,-2.83,-6.88,-0.674,7.47,1.0,0.0,,,,,
3.24,-4.53,-5.44,-3.22,7.77,1.0,0.0,,,,,
3.25,-6.24,-4.34,-4.21,8.69,1.0,0.0,,,,,
3.26,-7.17,-3.94,-4.08,9.14,1.0,0.0,,,,,
3.27,-7.08,-4.22,-3.62,9.0,1.0,0.0,,,,,
3.28,-6.44,-4.76,-3.16,8.61,1.0,0.0,,,,,
3.29,-5.83,-5.03,-2.69,8.15,1.0,0.0,,,,,
3.3,-5.08,-5.12,-2.15,7.52,1.0,0.0,,,,,
3.31,-4.36,-4.96,-1.93,6.88,1.0,0.0,,,,,
3.32,-3.88,-4.55,-2.23,6.39,1.0,0.0,,,,,
3.33,-3.53,-4.11,-2.8,6.1,1.0,0.0,,,,,
3.34,-3.32,-3.66,-3.63,6.13,1.0,0.0,,,,,
3.35,-3.34,-3.28,-4.46,6.46,1.0,0.0,,,,,
3.36,-3.61,-3.1,-5.28,7.11,1.0,0.0,,,,,
3.37,-4.0,-3.35,-6.01,7.96,1.0,0.0,,,,,
3.38,-4.42,-4.03,-6.52,8.85,1.0,0.0,,,,,
3.39,-5.2,-4.71,-7.66,10.4,1.0,0.0,,,,,
3.4,-6.41,-5.27,-9.51,12.6,1.0,0.0,,,,,
3.41,-6.95,-6.09,-9.3,13.1,1.0,0.0,,,,,
3.42,-6.38,-7.08,-6.64,11.6,1.0,0.0,,,,,
3.43,-4.89,-7.38,-2.82,9.29,1.0,0.0,,,,,
3.44,-3.09,-6.35,2.47,7.48,1.0,0.0,,,,,
3.45,-2.23,-5.26,5.17,7.71,1.0,0.0,,,,,
3.46,-2.08,-4.85,4.88,7.19,1.0,0.0,,,,,
3.47,-2.47,-4.02,0.924,4.81,1.0,0.0,,,,,
3.48,-5.93,-3.25,-8.05,10.5,1.0,0.0,,,,,
3.49,-8.7,-4.11,-11.8,15.2,1.0,0.0,,,,,
3.5,-9.32,-5.32,-8.57,13.7,1.0,0.0,,,,,
3.51,-9.98,-6.04,-5.98,13.1,1.0,0.0,,,,,
3.52,-8.81,-5.69,-0.991,10.5,1.0,0.0,,,,,
3.53,-6.87,-5.54,2.06,9.06,1.0,0.0,,,,,
3.54,-5.67,-5.84,-0.955,8.19,1.0,0.0,,,,,
3.55,-5.37,-6.71,-4.64,9.77,1.0,0.0,,,,,
3.56,-6.39,-8.88,-7.25,13.1,1.0,0.0,,,,,
3.57,-8.41,-11.1,-6.21,15.2,1.0,0.0,,,,,
3.58,-10.6,-12.5,-5.02,17.1,1.0,0.0,,,,,
3.59,-12.8,-13.5,-5.85,19.5,1.0,0.0,,,,,
3.6,-14.7,-14.5,-7.98,22.1,1.0,0.0,,,,,
3.61,-15.8,-15.6,-9.32,24.1,1.0,0.0,,,,,
3.62,-15.9,-16.3,-9.2,24.6,1.0,0.0,,,,,
3.63,-15.8,-17.0,-9.26,25.0,1.0,0.0,,,,,
3.64,-16.6,-18.2,-10.5,26.8,1.0,0.0,,,,,
3.65,-19.1,-21.0,-13.3,31.3,1.0,0.0,,,,,
3.66,-22.6,-25.3,-14.3,36.8,1.0,0.0,,,,,
3.67,-27.1,-28.8,-14.7,42.2,1.0,0.0,,,,,
3.68,-29.3,-29.1,-16.1,44.3,1.0,0.0,,,,,
3.69,-23.3,-25.0,-13.1,36.6,1.0,0.0,,,,,
3.7,-14.6,-19.1,-7.43,25.2,1.0,0.0,,,,,
3.71,-9.49,-15.2,-3.47,18.3,1.0,0.0,,,,,
3.72,-6.51,-12.3,-1.44,14.0,1.0,0.0,,,,,
3.73,-5.16,-9.49,0.359,10.8,1.0,0.0,,,,,
3.74,-4.63,-7.92,1.98,9.38,1.0,0.0,,,,,
3.75,-4.36,-7.26,4.26,9.48,1.0,0.0,,,,,
3.76,-3.77,-6.65,5.46,9.39,1.0,0.0,,,,,
3.77,-2.85,-5.58,5.05,8.05,1.0,0.0,,,,,
3.78,-2.05,-4.16,4.21,6.26,1.0,0.0,,,,,
3.79,-1.26,-3.0,3.18,4.55,1.0,0.0,,,,,
3.8,-0.483,-2.17,2.19,3.12,1.0,0.0,,,,,
3.81,0.603,-1.58,1.73,2.42,1.0,0.0,,,,,
3.82,1.64,-2.39,1.82,3.42,1.0,0.0,,,,,
3.83,2.41,-3.07,2.29,4.53,1.0,0.0,,,,,
3.84,3.64,-3.88,3.38,6.31,1.0,0.0,,,,,
3.85,4.77,-4.45,3.91,7.61,1.0,0.0,,,,,
3.86,4.8,-4.7,4.1,7.87,1.0,0.0,,,,,
3.87,4.35,-4.72,4.98,8.12,1.0,0.0,,,,,
3.88,4.28,-4.47,6.24,8.79,1.0,0.0,,,,,
3.89,3.85,-3.96,6.56,8.57,1.0,0.0,,,,,
3.9,2.68,-3.04,6.83,7.94,1.0,0.0,,,,,
3.91,3.06,-1.64,6.56,7.42,1.0,0.0,,,,,
3.92,3.33,-0.601,6.4,7.24,1.0,0.0,,,,,
3.93,3.51,0.596,5.27,6.36,1.0,0.0,,,,,
3.94,3.44,1.84,3.93,5.53,1.0,0.0,,,,,
3.95,3.42,2.61,3.69,5.66,1.0,0.0,,,,,
3.96,3.39,3.26,4.16,6.28,1.0,0.0,,,,,
